For All Mankind | Alternate history science fiction | 2019 | 5 | Renewed for final season | Drama
The Morning Show | Drama | 2019 | 4 | Renewed for final season | Drama
Foundation | Science fiction | 2021 | 3 | Renewed | Drama
Invasion | Science fiction | 2021 | 3 | Pending | Drama
Severance | Science fiction thriller | 2022 | 2 | Renewed | Drama
Slow Horses | Spy thriller | 2022 | 5 | Renewed | Drama
The Last Thing He Told Me | Thriller | 2023 | 2 | Pending | Drama
Silo | Dystopian science fiction | 2023 | 3 | Final season scheduled 2027 | Drama
Hijack | Thriller | 2023 | 2 | Pending | Drama
The Buccaneers | Period drama | 2023 | 2 | Renewed | Drama
Monarch: Legacy of Monsters | Monster action | 2023 | 2 | Pending | Drama
Criminal Record | Crime thriller | 2024 | 2 | Pending | Drama
Sugar | Mystery drama | 2024 | 2 | Pending | Drama
Dark Matter | Science fiction | 2024 | 2 | Season 2 ongoing | Drama
Presumed Innocent | Legal drama | 2024 | 1 | Renewed | Drama
Your Friends & Neighbors | Black comedy crime drama | 2025 | 2 | Renewed | Drama
Chief of War | Historical drama | 2025 | 1 | Pending | Drama
Down Cemetery Road | Thriller | 2025 | 1 | Renewed | Drama
Pluribus | Science fiction | 2025 | 1 | Renewed | Drama
Star City | Alternate history science fiction | 2026 | 1 | Pending | Drama
Trying | Comedy | 2020 | 5 | Pending | Comedy
Ted Lasso | Sports comedy drama | 2020 | 4 | Season 4 ongoing | Comedy
Loot | Comedy | 2022 | 3 | Pending | Comedy
Shrinking | Comedy drama | 2023 | 3 | Renewed | Comedy
Platonic | Comedy | 2023 | 2 | Renewed | Comedy
Bad Monkey | Crime comedy | 2024 | 1 | Season 2 scheduled 2026 | Comedy
The Studio | Workplace comedy | 2025 | 1 | Renewed | Comedy
Murderbot | Science fiction action comedy | 2025 | 1 | Renewed | Comedy
Stick | Sports comedy | 2025 | 1 | Season 2 scheduled 2026 | Comedy
Margo's Got Money Troubles | Comedy drama | 2026 | 1 | Renewed | Comedy
Widow's Bay | Horror comedy | 2026 | 1 | Renewed | Comedy
Maximum Pleasure Guaranteed | Comedy thriller | 2026 | 1 | Pending | Comedy
Women in Blue | Crime drama | 2024 | 2 | Season 2 ongoing | Non-English
Where's Wanda? | Dark comedy | 2024 | 1 | Season 2 scheduled 2026 | Non-English
The Hunt | Thriller | 2026 | 1 | Pending | Non-English
Tehran | Spy thriller | 2020 | 3 | Renewed | Co-production
Drops of God | Drama | 2023 | 2 | Pending | Co-production
Berlin ER | Medical drama | 2025 | 1 | Renewed | Co-production
Yo Gabba GabbaLand! | Children's puppetry | 2024 | 2 | Pending | Kids
Stillwater | Animated comedy | 2020 | 5 | Pending | Kids Animation
Camp Snoopy | Comedy | 2024 | 2 | Pending | Kids Animation
Wonder Pets: In the City | Educational musical | 2024 | 2 | Pending | Kids Animation
The Sisters Grimm | Mystery fantasy | 2025 | 1 | Season 2 scheduled 2026 | Kids Animation
My Brother the Minotaur | Mystery fantasy | 2026 | 1 | Pending | Kids Animation
Prehistoric Planet | Natural history | 2022 | 3 | Pending | Docuseries
The Reluctant Traveler | Travel | 2023 | 3 | Renewed | Docuseries
Knife Edge: Chasing Michelin Stars | Restaurant industry | 2025 | 1 | Renewed | Docuseries
Born to Be Wild | Nature | 2025 | 1 | Pending | Docuseries
The Savant | Drama miniseries | 2026 | 1 | Post-production | Drama
See | Science fiction | 2019 | 3 | Ended 2022 | Drama
Servant | Psychological horror | 2019 | 4 | Ended 2023 | Drama
Truth Be Told | Legal drama | 2019 | 3 | Ended 2023 | Drama
Amazing Stories | Science fiction anthology | 2020 | 1 | Ended 2020 | Drama
Home Before Dark | Mystery drama | 2020 | 2 | Ended 2021 | Drama
Defending Jacob | Legal drama miniseries | 2020 | 1 | Ended 2020 | Drama
Little Voice | Musical drama | 2020 | 1 | Ended 2020 | Drama
The Mosquito Coast | Action thriller | 2021 | 2 | Ended 2023 | Drama
Lisey's Story | Romance horror miniseries | 2021 | 1 | Ended 2021 | Drama
Swagger | Sports drama | 2021 | 2 | Ended 2023 | Drama
The Shrink Next Door | Psychological drama miniseries | 2021 | 1 | Ended 2021 | Drama
Suspicion | Political thriller | 2022 | 1 | Ended 2022 | Drama
The Last Days of Ptolemy Grey | Drama miniseries | 2022 | 1 | Ended 2022 | Drama
WeCrashed | Drama miniseries | 2022 | 1 | Ended 2022 | Drama
Pachinko | Period drama | 2022 | 2 | Ended 2024 | Drama
Roar | Feminist drama anthology | 2022 | 1 | Ended 2022 | Drama
Shining Girls | Supernatural thriller | 2022 | 1 | Ended 2022 | Drama
The Essex Serpent | Period drama miniseries | 2022 | 1 | Ended 2022 | Drama
Black Bird | True crime drama miniseries | 2022 | 1 | Ended 2022 | Drama
Surface | Psychological thriller | 2022 | 2 | Ended 2025 | Drama
Five Days at Memorial | Medical drama miniseries | 2022 | 1 | Ended 2022 | Drama
Bad Sisters | Dark comedy thriller | 2022 | 2 | Ended 2024 | Drama
Shantaram | Adventure drama | 2022 | 1 | Ended 2022 | Drama
Echo 3 | Action thriller | 2022 | 1 | Ended 2023 | Drama
Dear Edward | Drama | 2023 | 1 | Ended 2023 | Drama
Hello Tomorrow! | Science fiction comedy drama | 2023 | 1 | Ended 2023 | Drama
Extrapolations | Drama anthology miniseries | 2023 | 1 | Ended 2023 | Drama
City on Fire | Crime drama | 2023 | 1 | Ended 2023 | Drama
The Crowded Room | Psychological thriller miniseries | 2023 | 1 | Ended 2023 | Drama
The Changeling | Horror fantasy | 2023 | 1 | Ended 2023 | Drama
Lessons in Chemistry | Period drama miniseries | 2023 | 1 | Ended 2023 | Drama
Masters of the Air | War drama miniseries | 2024 | 1 | Ended 2024 | Drama
Constellation | Psychological thriller | 2024 | 1 | Ended 2024 | Drama
The New Look | Historical drama | 2024 | 1 | Ended 2024 | Drama
Manhunt | Political drama miniseries | 2024 | 1 | Ended 2024 | Drama
Franklin | Biographical drama miniseries | 2024 | 1 | Ended 2024 | Drama
The Big Cigar | Biographical drama miniseries | 2024 | 1 | Ended 2024 | Drama
Lady in the Lake | Drama thriller miniseries | 2024 | 1 | Ended 2024 | Drama
Disclaimer | Thriller miniseries | 2024 | 1 | Ended 2024 | Drama
Before | Psychological thriller miniseries | 2024 | 1 | Ended 2024 | Drama
Prime Target | Thriller | 2025 | 1 | Ended 2025 | Drama
Dope Thief | Crime drama miniseries | 2025 | 1 | Ended 2025 | Drama
Smoke | Crime drama | 2025 | 1 | Ended 2025 | Drama
The Last Frontier | Action drama | 2025 | 1 | Ended 2025 | Drama
Imperfect Women | Psychological thriller miniseries | 2026 | 1 | Ended 2026 | Drama
Cape Fear | Psychological thriller miniseries | 2026 | 1 | Ended 2026 | Drama
Lucky | Crime thriller miniseries | 2026 | 1 | Ended 2026 | Drama
Dickinson | Period comedy | 2019 | 3 | Ended 2021 | Comedy
Little America | Comedy drama anthology | 2020 | 2 | Ended 2022 | Comedy
Mythic Quest | Workplace comedy | 2020 | 4 | Ended 2025 | Comedy
Physical | Dark comedy | 2021 | 3 | Ended 2023 | Comedy
Schmigadoon! | Musical comedy | 2021 | 2 | Ended 2023 | Comedy
Mr. Corman | Comedy drama | 2021 | 1 | Ended 2021 | Comedy
Acapulco | Comedy | 2021 | 4 | Ended 2025 | Comedy
The Afterparty | Murder mystery comedy | 2022 | 2 | Ended 2023 | Comedy
The Big Door Prize | Comedy | 2023 | 2 | Ended 2024 | Comedy
High Desert | Comedy | 2023 | 1 | Ended 2023 | Comedy
Still Up | Comedy | 2023 | 1 | Ended 2023 | Comedy
The Completely Made-Up Adventures of Dick Turpin | Historical comedy adventure | 2024 | 1 | Ended 2025 | Comedy
Palm Royale | Period comedy | 2024 | 2 | Ended 2026 | Comedy
Land of Women | Comedy drama | 2024 | 1 | Ended 2024 | Comedy
Sunny | Dark comedy | 2024 | 1 | Ended 2024 | Comedy
Time Bandits | Fantasy adventure comedy | 2024 | 1 | Ended 2024 | Comedy
Side Quest | Workplace comedy anthology | 2025 | 1 | Ended 2025 | Comedy
Government Cheese | Comedy drama | 2025 | 1 | Ended 2025 | Comedy
Dr. Brain | Science fiction thriller | 2021 | 1 | Ended 2021 | Non-English
Now and Then | Thriller | 2022 | 1 | Ended 2025 | Non-English
Liaison | Thriller | 2023 | 1 | Ended 2023 | Non-English
La Maison | Drama | 2024 | 1 | Ended 2024 | Non-English
Midnight Family | Medical drama | 2024 | 1 | Ended 2024 | Non-English
Love You to Death | Romantic comedy | 2025 | 1 | Ended 2025 | Non-English
Carême | Period drama | 2025 | 1 | Ended 2025 | Non-English
Losing Alice | Erotic thriller | 2021 | 1 | Ended 2021 | Co-production
Calls | Mystery thriller | 2021 | 1 | Ended 2021 | Co-production
Ghostwriter | Family mystery | 2019 | 3 | Ended 2022 | Kids
Helpsters | Educational puppetry | 2019 | 3 | Ended 2023 | Kids
Fraggle Rock: Rock On! | Puppetry | 2020 | 1 | Ended 2020 | Kids
Puppy Place | Family adventure | 2021 | 2 | Ended 2022 | Kids
Hello, Jack! The Kindness Show | Children's educational | 2021 | 2 | Ended 2022 | Kids
Fraggle Rock: Back to the Rock | Children's puppetry | 2022 | 2 | Ended 2024 | Kids
Lovely Little Farm | Live-action animated family comedy | 2022 | 2 | Ended 2023 | Kids
Best Foot Forward | Family comedy | 2022 | 1 | Ended 2022 | Kids
Amber Brown | Family comedy | 2022 | 1 | Ended 2022 | Kids
Surfside Girls | Family mystery drama | 2022 | 1 | Ended 2022 | Kids
Life by Ella | Family drama | 2022 | 1 | Ended 2022 | Kids
Slumberkins | Children's puppetry | 2022 | 1 | Ended 2022 | Kids
Circuit Breakers | Science fiction anthology | 2022 | 1 | Ended 2022 | Kids
Jane | Live-action animated family drama | 2023 | 3 | Ended 2025 | Kids
Me | Science fiction | 2024 | 1 | Ended 2024 | Kids
Central Park | Musical animated sitcom | 2020 | 3 | Ended 2022 | Adult Animation
Strange Planet | Science fiction comedy | 2023 | 1 | Ended 2023 | Adult Animation
Snoopy in Space | Adventure | 2019 | 2 | Ended 2021 | Kids Animation
Doug Unplugs | Adventure | 2020 | 2 | Ended 2022 | Kids Animation
The Snoopy Show | Animated comedy | 2021 | 3 | Ended 2023 | Kids Animation
Wolfboy and the Everything Factory | Fantasy | 2021 | 2 | Ended 2022 | Kids Animation
Get Rolling with Otis | Adventure | 2021 | 2 | Ended 2022 | Kids Animation
Harriet the Spy | Mystery | 2021 | 2 | Ended 2023 | Kids Animation
El Deafo | Family miniseries | 2022 | 1 | Ended 2022 | Kids Animation
Pretzel and the Puppies | Animation | 2022 | 2 | Ended 2023 | Kids Animation
Pinecone & Pony | Adventure | 2022 | 2 | Ended 2023 | Kids Animation
Duck & Goose | Education | 2022 | 2 | Ended 2023 | Kids Animation
Sago Mini Friends | Educational | 2022 | 3 | Ended 2024 | Kids Animation
Interrupting Chicken | Education | 2022 | 2 | Ended 2023 | Kids Animation
Shape Island | Animated comedy | 2023 | 2 | Ended 2025 | Kids Animation
Eva the Owlet | Adventure | 2023 | 2 | Ended 2025 | Kids Animation
Frog and Toad | Fantasy | 2023 | 2 | Ended 2024 | Kids Animation
Curses! | Adventure horror | 2023 | 2 | Ended 2024 | Kids Animation
WondLa | Science fiction fantasy | 2024 | 3 | Ended 2025 | Kids Animation
Goldie | Comedy | 2025 | 1 | Ended 2025 | Kids Animation
Bearbrick | Musical comedy | 2025 | 1 | Ended 2025 | Kids Animation
Not a Box | Educational | 2025 | 1 | Ended 2025 | Kids Animation
Visible: Out on Television | LGBT culture miniseries | 2020 | 1 | Ended 2020 | Docuseries
Home | Architecture | 2020 | 2 | Ended 2022 | Docuseries
Dear... | Celebrity | 2020 | 2 | Ended 2023 | Docuseries
Greatness Code | Sports | 2020 | 2 | Ended 2022 | Docuseries
Long Way Up | Travel miniseries | 2020 | 1 | Ended 2020 | Docuseries
Tiny World | Nature | 2020 | 2 | Ended 2021 | Docuseries
Becoming You | Developmental psychology | 2020 | 1 | Ended 2020 | Docuseries
Earth at Night in Color | Nature | 2020 | 2 | Ended 2021 | Docuseries
1971: The Year That Music Changed Everything | Music miniseries | 2021 | 1 | Ended 2021 | Docuseries
The Me You Can't See | Mental health | 2021 | 1 | Ended 2021 | Docuseries
Watch the Sound with Mark Ronson | Music | 2021 | 1 | Ended 2021 | Docuseries
